Epoch:  0 | train loss: 0.62595 | test loss: 0.89081 | learn rate: 0.00009969
Epoch:  2 | train loss: 0.42730 | test loss: 0.76241 | learn rate: 0.00009906
Epoch:  4 | train loss: 0.29521 | test loss: 0.60025 | learn rate: 0.00009844
Epoch:  6 | train loss: 0.19740 | test loss: 0.41633 | learn rate: 0.00009782
Epoch:  8 | train loss: 0.13106 | test loss: 0.24201 | learn rate: 0.00009719
Epoch:  10 | train loss: 0.08952 | test loss: 0.12532 | learn rate: 0.00009657
Epoch:  12 | train loss: 0.07042 | test loss: 0.07948 | learn rate: 0.00009595
Epoch:  14 | train loss: 0.05256 | test loss: 0.06185 | learn rate: 0.00009533
Epoch:  16 | train loss: 0.03895 | test loss: 0.03863 | learn rate: 0.00009471
Epoch:  18 | train loss: 0.04155 | test loss: 0.03908 | learn rate: 0.00009409
Epoch:  20 | train loss: 0.03523 | test loss: 0.03520 | learn rate: 0.00009347
Epoch:  22 | train loss: 0.03566 | test loss: 0.03104 | learn rate: 0.00009286
Epoch:  24 | train loss: 0.03418 | test loss: 0.03257 | learn rate: 0.00009224
Epoch:  26 | train loss: 0.03244 | test loss: 0.02942 | learn rate: 0.00009162
Epoch:  28 | train loss: 0.04030 | test loss: 0.02818 | learn rate: 0.00009101
Epoch:  30 | train loss: 0.03585 | test loss: 0.03090 | learn rate: 0.00009039
Epoch:  32 | train loss: 0.03205 | test loss: 0.02968 | learn rate: 0.00008978
Epoch:  34 | train loss: 0.03263 | test loss: 0.02508 | learn rate: 0.00008916
Epoch:  36 | train loss: 0.03041 | test loss: 0.02681 | learn rate: 0.00008855
Epoch:  38 | train loss: 0.03255 | test loss: 0.02769 | learn rate: 0.00008794
Epoch:  40 | train loss: 0.03825 | test loss: 0.02859 | learn rate: 0.00008733
Epoch:  42 | train loss: 0.03008 | test loss: 0.02396 | learn rate: 0.00008672
Epoch:  44 | train loss: 0.02910 | test loss: 0.02411 | learn rate: 0.00008611
Epoch:  46 | train loss: 0.03015 | test loss: 0.02720 | learn rate: 0.00008550
Epoch:  48 | train loss: 0.03141 | test loss: 0.02547 | learn rate: 0.00008489
Epoch:  50 | train loss: 0.02658 | test loss: 0.02695 | learn rate: 0.00008428
Epoch:  52 | train loss: 0.02607 | test loss: 0.02241 | learn rate: 0.00008368
Epoch:  54 | train loss: 0.02790 | test loss: 0.02302 | learn rate: 0.00008307
Epoch:  56 | train loss: 0.02751 | test loss: 0.02297 | learn rate: 0.00008246
Epoch:  58 | train loss: 0.02604 | test loss: 0.02210 | learn rate: 0.00008186
